,State,Electoral Vote of Each State,"Donald Trump,
        of New York",Other,"Hillary Clinton,
        of New York",Other,"Mike Pence,
        of Indiana",Other,"Tim Kaine,
        of Virginia",Other
2,Alabama,9,9,-,-,-,9,-,-,-
3,Alaska,3,3,-,-,-,3,-,-,-
4,Arizona,11,11,-,-,-,11,-,-,-
5,Arkansas,6,6,-,-,-,6,-,-,-
6,California,55,-,-,55,-,-,-,55,-
7,Colorado,9,-,-,9,-,-,-,9,-
8,Connecticut,7,-,-,7,-,-,-,7,-
9,Delaware,3,-,-,3,-,-,-,3,-
10,District of Columbia,3,-,-,3,-,-,-,3,-
11,Florida,29,29,-,-,-,29,-,-,-
12,Georgia,16,16,-,-,-,16,-,-,-
13,Hawaii*,4,-,-,3,1,-,-,3,1
14,Idaho,4,4,-,-,-,4,-,-,-
15,Illinois,20,-,-,20,-,-,-,20,-
16,Indiana,11,11,-,-,-,11,-,-,-
17,Iowa,6,6,-,-,-,6,-,-,-
18,Kansas,6,6,-,-,-,6,-,-,-
19,Kentucky,8,8,-,-,-,8,-,-,-
20,Louisiana,8,8,-,-,-,8,-,-,-
21,Maine**,4,1,-,3,-,1,-,3,-
22,Maryland,10,-,-,10,-,-,-,10,-
23,Massachusetts,11,-,-,11,-,-,-,11,-
24,Michigan,16,16,-,-,-,16,-,-,-
25,Minnesota,10,-,-,10,-,-,-,10,-
26,Mississippi,6,6,-,-,-,6,-,-,-
27,Missouri,10,10,-,-,-,10,-,-,-
28,Montana,3,3,-,-,-,3,-,-,-
29,Nebraska,5,5,-,-,-,5,-,-,-
30,Nevada,6,-,-,6,-,-,-,6,-
31,New Hampshire,4,-,-,4,-,-,-,4,-
32,New Jersey,14,-,-,14,-,-,-,14,-
33,New Mexico,5,-,-,5,-,-,-,5,-
34,New York,29,-,-,29,-,-,-,29,-
35,North Carolina,15,15,-,-,-,15,-,-,-
36,North Dakota,3,3,-,-,-,3,-,-,-
37,Ohio,18,18,-,-,-,18,-,-,-
38,Oklahoma,7,7,-,-,-,7,-,-,-
39,Oregon,7,-,-,7,-,-,-,7,-
40,Pennsylvania,20,20,-,-,-,20,-,-,-
41,Rhode Island,4,-,-,4,-,-,-,4,-
42,South Carolina,9,9,-,-,-,9,-,-,-
43,South Dakota,3,3,-,-,-,3,-,-,-
44,Tennessee,11,11,-,-,-,11,-,-,-
45,Texas***,38,36,2,-,-,37,1,-,-
46,Utah,6,6,-,-,-,6,-,-,-
47,Vermont,3,-,-,3,-,-,-,3,-
48,Virginia,13,-,-,13,-,-,-,13,-
49,Washington****,12,-,-,8,4,-,-,8,4
50,West Virginia,5,5,-,-,-,5,-,-,-
51,Wisconsin,10,10,-,-,-,10,-,-,-
52,Wyoming,3,3,-,-,-,3,-,-,-
